state,year,State Code,Region,population,population ratio,population  region ratio,area,area density,land,land density,water,water density
Kansas,2012,KS,Midwest,2885257,0.009193665,0.042848182,213100,13.41243548,211754,13.32771873,1346,0.084716744
Kentucky,2012,KY,South,4386346,0.013976778,0.037413006,104656,41.5473647,102269,40.59975004,2387,0.947614657
Louisiana,2012,LA,South,4600972,0.014660668,0.039243642,135659,33.49967197,111898,27.63212389,23761,5.867548085
Maine,2012,ME,Northeast,1327729,0.004230713,0.023805,91633,14.4885467,79883,12.63069611,11750,1.857850597
Maryland,2012,MD,South,5886992,0.018758479,0.050212652,32131,180.1576359,25142,140.9705046,6990,39.19273833
Massachusetts,2012,MA,Northeast,6663005,0.021231189,0.119461752,27336,240.207309,20202,177.5193173,7134,62.68799176
Michigan,2012,MI,Midwest,9897145,0.031536545,0.146979859,250487,39.43322408,146435,23.05270999,104052,16.38051409
Minnesota,2012,MN,Midwest,5376643,0.017132288,0.07984709,225163,23.58659282,206232,21.60350595,18930,1.982982116
Mississippi,2012,MS,South,2983816,0.009507716,0.025450232,125438,23.68140436,121531,22.94380294,3907,0.737601419
Missouri,2012,MO,Midwest,6024367,0.019196214,0.089466267,180540,33.21133267,178040,32.75144383,2501,0.460072798
Montana,2012,MT,West,1003783,0.003198483,0.013661033,380831,2.601408499,376962,2.574979848,3869,0.026428651
Nebraska,2012,NE,Midwest,1853303,0.005905417,0.027522908,200330,9.132641142,198974,9.070823834,1356,0.061817308
Nevada,2012,NV,West,2743996,0.008743547,0.037344547,286380,9.436430617,284332,9.368947518,2048,0.067483099
New Hampshire,2012,NH,Northeast,1324232,0.004219571,0.023742302,24214,54.38019328,23187,52.07374005,1027,2.306453229
New Jersey,2012,NJ,Northeast,8844942,0.028183775,0.158581941,22591,389.5111328,19047,328.405938,3544,61.10519474
New Mexico,2012,NM,West,2087309,0.006651061,0.028407333,314917,6.555860751,314161,6.540122538,757,0.01575903
New York,2012,NY,Northeast,19572932,0.062367748,0.350925257,141297,137.2985838,122057,118.6030365,19240,18.69554734
North Carolina,2012,NC,South,9749476,0.031066008,0.083157417,139391,68.68680905,125920,62.04879078,13471,6.63801827
North Dakota,2012,ND,Midwest,701176,0.002234247,0.010412978,183108,3.684792581,178711,3.596309102,4397,0.08848348
Ohio,2012,OH,Midwest,11548923,0.036799817,0.171509973,116098,99.39306448,105829,90.60163501,10269,8.791429475
