state,"Population estimates, July 1, 2016,  (V2016)","Population estimates base, April 1, 2010,  (V2016)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)","Persons under 5 years, percent, July 1, 2016,  (V2016)","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, July 1, 2016,  (V2016)","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent,  July 1, 2016,  (V2016)","Persons 65 years and over, percent, April 1, 2010","Female persons, percent,  July 1, 2016,  (V2016)","Female persons, percent, April 1, 2010","White alone, percent, July 1, 2016,  (V2016)","Black or African American alone, percent, July 1, 2016,  (V2016)","American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)","Asian alone, percent, July 1, 2016,  (V2016)","Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)","Two or More Races, percent, July 1, 2016,  (V2016)","Hispanic or Latino, percent, July 1, 2016,  (V2016)","White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)","Veterans, 2011-2015","Foreign born persons, percent, 2011-2015","Housing units,  July 1, 2016,  (V2016)","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2011-2015","Median value of owner-occupied housing units, 2011-2015","Median selected monthly owner costs -with a mortgage, 2011-2015","Median selected monthly owner costs -without a mortgage, 2011-2015","Median gross rent, 2011-2015","Building permits, 2016","Households, 2011-2015","Persons per household, 2011-2015","Living in same house 1 year ago, percent of persons age 1 year+, 2011-2015","Language other than English spoken at home, percent of persons age 5 years+, 2011-2015","High school graduate or higher, percent of persons age 25 years+, 2011-2015","Bachelor's degree or higher, percent of persons age 25 years+, 2011-2015","With a disability, under age 65 years, percent, 2011-2015","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2011-2015","In civilian labor force, female, percent of population age 16 years+, 2011-2015","Total accommodation and food services sales, 2012 ($1,000)","Total health care and social assistance receipts/revenue, 2012 ($1,000)","Total manufacturers shipments, 2012 ($1,000)","Total merchant wholesaler sales, 2012 ($1,000)","Total retail sales, 2012 ($1,000)","Total retail sales per capita, 2012","Mean travel time to work (minutes), workers age 16 years+, 2011-2015","Median household income (in 2015 dollars), 2011-2015","Per capita income in past 12 months (in 2015 dollars), 2011-2015","Persons in poverty, percent","Total employer establishments, 2015","Total employment, 2015","Total annual payroll, 2015 ($1,000)","Total employment, percent change, 2014-2015","Total nonemployer establishments, 2015","All firms, 2012","Men-owned firms, 2012","Women-owned firms, 2012","Minority-owned firms, 2012","Nonminority-owned firms, 2012","Veteran-owned firms, 2012","Nonveteran-owned firms, 2012","Population per square mile, 2010","Land area in square miles, 2010"
massachusetts,6811779.0,6547813.0,0.04,0.053,0.055999999999999994,0.20199999999999999,0.217,0.158,0.138,0.515,0.516,0.818,0.086,0.005,0.067,0.001,0.023,0.115,0.73,355083.0,0.155,2858026.0,2808254.0,0.621,333100.0,2063.0,717.0,1102.0,16288.0,2549721.0,2.53,0.871,0.225,0.898,0.405,0.079,0.028999999999999998,0.675,0.634,17508975.0,63583090.0,81927799.0,123904370.0,92915380.0,13980.0,28.7,68563.0,36895.0,0.10400000000000001,175225.0,3167329.0,198026611.0,0.026000000000000002,514298.0,607664.0,357158.0,199210.0,89967.0,499959.0,58339.0,525667.0,839.4,7800.06
michigan,9928300.0,9884129.0,0.004,0.057999999999999996,0.06,0.221,0.237,0.162,0.138,0.508,0.509,0.7959999999999999,0.142,0.006999999999999999,0.031,,0.024,0.05,0.754,626722.0,0.063,4560055.0,4532233.0,0.71,122400.0,1257.0,461.0,783.0,20408.0,3841148.0,2.52,0.853,0.092,0.8959999999999999,0.26899999999999996,0.10300000000000001,0.063,0.612,0.5710000000000001,17962356.0,63018786.0,238892383.0,115704903.0,119302046.0,12071.0,24.2,49576.0,26607.0,0.15,219627.0,3725280.0,174873962.0,0.032,700254.0,834087.0,446128.0,306986.0,158946.0,657237.0,71861.0,733517.0,174.8,56538.9
minnesota,5519952.0,5303924.0,0.040999999999999995,0.064,0.067,0.233,0.242,0.151,0.129,0.502,0.504,0.85,0.062,0.013000000000000001,0.049,0.001,0.024,0.052000000000000005,0.8059999999999999,342388.0,0.077,2409935.0,2347201.0,0.7170000000000001,186200.0,1490.0,479.0,848.0,21449.0,2124745.0,2.49,0.855,0.11,0.924,0.337,0.071,0.048,0.7,0.662,11722627.0,40403572.0,123076309.0,104485117.0,78898182.0,14667.0,23.1,61492.0,32157.0,0.099,148666.0,2612314.0,133092716.0,0.018000000000000002,397378.0,489494.0,268710.0,157821.0,47302.0,428716.0,45582.0,419628.0,66.6,79626.74
mississippi,2988726.0,2968103.0,0.006999999999999999,0.063,0.071,0.24100000000000002,0.255,0.151,0.128,0.515,0.514,0.593,0.377,0.006,0.011000000000000001,0.001,0.012,0.031,0.569,184774.0,0.023,1307441.0,1274719.0,0.684,103100.0,1077.0,341.0,717.0,6886.0,1096593.0,2.64,0.861,0.039,0.823,0.207,0.11900000000000001,0.139,0.575,0.537,6999175.0,16630587.0,66441608.0,28302952.0,37053190.0,12413.0,24.1,39665.0,21057.0,0.20800000000000002,58662.0,926391.0,33948151.0,0.016,211955.0,235454.0,125079.0,89159.0,74824.0,155094.0,26789.0,198566.0,63.2,46923.27
missouri,6093000.0,5988928.0,0.017,0.061,0.065,0.228,0.23800000000000002,0.161,0.14,0.509,0.51,0.8320000000000001,0.11800000000000001,0.006,0.02,0.001,0.022000000000000002,0.040999999999999995,0.797,451342.0,0.039,2760084.0,2712729.0,0.672,138400.0,1210.0,402.0,746.0,18997.0,2364688.0,2.48,0.8390000000000001,0.06,0.884,0.271,0.10400000000000001,0.105,0.632,0.593,12430310.0,40089316.0,111535362.0,91916351.0,90546581.0,15036.0,23.2,48173.0,26259.0,0.14,158191.0,2442316.0,109135528.0,0.016,402091.0,491606.0,257948.0,162616.0,61035.0,415972.0,49217.0,415542.0,87.1,68741.52
montana,1042520.0,989414.0,0.054000000000000006,0.06,0.063,0.218,0.226,0.177,0.14800000000000002,0.49700000000000005,0.498,0.892,0.006,0.066,0.008,0.001,0.027000000000000003,0.036000000000000004,0.865,90000.0,0.021,497756.0,482825.0,0.672,193500.0,1294.0,387.0,711.0,4781.0,409394.0,2.41,0.836,0.040999999999999995,0.9279999999999999,0.295,0.091,0.098,0.636,0.595,2420455.0,6469475.0,11535236.0,12645824.0,15623573.0,15544.0,18.1,47169.0,26381.0,0.133,37270.0,375041.0,14227065.0,0.031,86969.0,112419.0,55913.0,35449.0,5578.0,102746.0,11486.0,93393.0,6.8,145545.8
nebraska,1907116.0,1826334.0,0.044000000000000004,0.07,0.07200000000000001,0.248,0.251,0.15,0.135,0.502,0.504,0.889,0.05,0.013999999999999999,0.025,0.001,0.021,0.107,0.7959999999999999,132918.0,0.066,827156.0,796793.0,0.662,133200.0,1270.0,471.0,726.0,8078.0,736613.0,2.47,0.8370000000000001,0.10800000000000001,0.907,0.293,0.073,0.099,0.6990000000000001,0.652,3094498.0,12869418.0,57499177.0,42618995.0,30470717.0,16422.0,18.3,52997.0,27882.0,0.114,53719.0,870279.0,36967924.0,0.023,131518.0,164089.0,83696.0,51936.0,14571.0,144122.0,16693.0,137254.0,23.8,76824.17
nevada,2940058.0,2700691.0,0.08900000000000001,0.063,0.069,0.23,0.24600000000000002,0.15,0.12,0.499,0.495,0.7509999999999999,0.096,0.016,0.087,0.008,0.042,0.285,0.499,220332.0,0.192,1221698.0,1173814.0,0.551,173700.0,1442.0,410.0,973.0,17952.0,1016709.0,2.72,0.7879999999999999,0.3,0.851,0.23,0.09,0.131,0.64,0.593,27481505.0,13928514.0,14719141.0,19841701.0,38234170.0,13858.0,23.9,51847.0,26541.0,0.138,63383.0,1129965.0,46595673.0,0.037000000000000005,205980.0,227156.0,114057.0,82508.0,71864.0,144944.0,23049.0,191293.0,24.6,109781.18
new hampshire,1334795.0,1316461.0,0.013999999999999999,0.048,0.053,0.195,0.218,0.17,0.135,0.505,0.507,0.938,0.015,0.003,0.027000000000000003,0.001,0.017,0.035,0.9079999999999999,106827.0,0.057,625307.0,614754.0,0.71,237300.0,1870.0,747.0,1000.0,3796.0,520251.0,2.47,0.865,0.079,0.9229999999999999,0.349,0.085,0.071,0.682,0.638,2942278.0,9616460.0,18895624.0,18029179.0,26018201.0,19700.0,26.9,66779.0,34362.0,0.073,37669.0,576424.0,28076320.0,0.023,104437.0,131638.0,76716.0,38525.0,6111.0,121297.0,16119.0,108817.0,147.0,8952.65
new jersey,8944469.0,8791953.0,0.017,0.057999999999999996,0.062,0.222,0.235,0.153,0.135,0.512,0.513,0.7240000000000001,0.15,0.006,0.098,0.001,0.022000000000000002,0.2,0.5579999999999999,393277.0,0.217,3604409.0,3553562.0,0.645,315900.0,2386.0,973.0,1192.0,26793.0,3189486.0,2.73,0.902,0.305,0.8859999999999999,0.368,0.066,0.092,0.659,0.606,19673558.0,60375232.0,108854971.0,288467844.0,133665728.0,15079.0,31.0,72093.0,36582.0,0.10400000000000001,230961.0,3558619.0,209072015.0,0.009000000000000001,670765.0,792088.0,464592.0,252944.0,237242.0,533808.0,57996.0,707975.0,1195.5,7354.22
